iter	F1	Logloss
0	0.7270061344	0.6820179266
1	0.7270061344	0.6695293961
2	0.7319586567	0.6576599948
3	0.7515530259	0.6464923932
4	0.7585731098	0.6375367173
5	0.7713207758	0.6288147079
6	0.7759910021	0.6203468695
7	0.7853932991	0.6127730483
8	0.7814373273	0.6061766066
9	0.786966165	0.5998072965
10	0.7877124715	0.593328374
11	0.7838978475	0.5878259528
12	0.7877843212	0.5826301631
13	0.78641933	0.5777546604
14	0.7860280292	0.573033286
15	0.7845703764	0.5684746047
16	0.7879880826	0.5640682677
17	0.7878724575	0.5604545305
18	0.7882638866	0.5569650525
19	0.7873201817	0.5532841874
20	0.7886537099	0.549949336
21	0.7900334736	0.5466784203
22	0.7923563076	0.5443633245
23	0.7883105802	0.541770762
24	0.7861335632	0.5390377383
25	0.7876395269	0.5371391331
26	0.7887514467	0.5346143487
27	0.7881950947	0.5322180611
28	0.7877562736	0.5298311253
29	0.7899781903	0.5276038876
30	0.7936435567	0.5255114914
31	0.7924928764	0.5240196537
32	0.7922126765	0.5218803274
33	0.7920393528	0.5200511555
34	0.7916528707	0.517946779
35	0.7936156608	0.5159677082
36	0.7944598392	0.5139716077
37	0.7953058155	0.5122579823
38	0.7949235621	0.5113945058
39	0.7953058155	0.5096689716
40	0.7959684185	0.5080517092
41	0.7986061441	0.5062320632
42	0.7976642624	0.5047091031
43	0.7993673479	0.5028596121
44	0.8009920289	0.5010338327
45	0.7990058803	0.4997716158
46	0.7990058803	0.4988124627
47	0.7996702443	0.497772228
48	0.7988105587	0.4962466151
49	0.7999572176	0.4953436433
50	0.8027137824	0.4935997792
51	0.8060375437	0.4925927442
52	0.8071931291	0.4910768333
53	0.8069039222	0.4898910176
54	0.8057491641	0.4885393487
55	0.8092892502	0.4871093792
56	0.8086422788	0.4857698359
57	0.8076325267	0.4843934992
58	0.8096754573	0.4831294413
59	0.8099681486	0.482138791
60	0.810909787	0.4810215476
61	0.8142507586	0.4797793782
62	0.8145445072	0.4784726372
63	0.8151326408	0.4775726637
64	0.8172906741	0.4764630852
65	0.8169964387	0.4755017337
66	0.8184262861	0.4740417855
67	0.8199085112	0.4726587852
68	0.8195708617	0.4713271941
69	0.8195708617	0.4698590521
70	0.8216942836	0.4687315629
71	0.82259009	0.4674786564
72	0.8213597121	0.466306804
73	0.8255902695	0.4652762011
74	0.8252892671	0.4641231159
75	0.8252892671	0.4636047018
76	0.8277241382	0.4620835566
77	0.8289335206	0.4607747409
78	0.8286308438	0.4597025556
79	0.8261683803	0.4589875873
80	0.8273793579	0.4578248043
81	0.825538039	0.45697198
82	0.8277034498	0.4560875039
83	0.8307672909	0.4553074655
84	0.8310707622	0.4546898693
85	0.8319825078	0.4538499438
86	0.833817402	0.4525445252
87	0.833817402	0.4520072626
88	0.8347328731	0.4509737676
89	0.8325914504	0.4497925773
90	0.8335065375	0.449160214
91	0.8338120137	0.448490716
92	0.8353443047	0.4472347445
93	0.8347297873	0.4466417557
94	0.83687681	0.4458642509
95	0.8353427596	0.4449935585
96	0.8362639078	0.443975929
97	0.837183986	0.4433637601
98	0.8374913876	0.4426982444
99	0.8365714089	0.441981456
100	0.8365714089	0.4418961456
101	0.8371870899	0.4408605359
102	0.838117784	0.4395570553
103	0.839658903	0.4387577216
104	0.8402791386	0.437995556
105	0.8409002912	0.436882515
106	0.8424571979	0.4362415396
107	0.8443118026	0.4355177613
108	0.8443118026	0.4348094044
109	0.8439993746	0.434553573
110	0.8446244619	0.4334965039
111	0.8436871778	0.4326436786
112	0.8424571979	0.4320016172
113	0.8424571979	0.4306942175
114	0.8437068803	0.42969431
115	0.8449373529	0.4290708871
116	0.8449602757	0.4281549395
117	0.8459027689	0.4270763575
118	0.8477638388	0.4263344761
119	0.8477638388	0.4255067149
120	0.8483945167	0.4249062113
121	0.8489927837	0.4241325999
122	0.8496237018	0.4235408034
123	0.8499395126	0.4228276412
124	0.8502555582	0.4222049122
125	0.8499753245	0.4216484708
126	0.8502921933	0.420900728
127	0.8506092984	0.4205356757
128	0.8506092984	0.4197704777
129	0.8518393187	0.4192561237
130	0.8551960616	0.4183355713
131	0.856839664	0.4168832878
132	0.8574790874	0.4159758131
133	0.8593429908	0.4154827676
134	0.8581194658	0.414878956
135	0.8599845522	0.4142757189
136	0.8603056923	0.4138100787
137	0.8599845522	0.4130689866
138	0.8603056923	0.4124047504
139	0.8603056923	0.411692682
140	0.8609486925	0.410862797
141	0.8609486925	0.4102397912
142	0.861914997	0.4093038684
143	0.861914997	0.4089898358
144	0.861914997	0.4084091931
145	0.8622375807	0.4081690674
146	0.8632067822	0.4073881901
147	0.862883473	0.4069064762
148	0.8638541279	0.4061152436
149	0.8635303337	0.4056996489
150	0.8647526785	0.4051621021
151	0.8641055983	0.4045808182
152	0.8647526785	0.4038257624
153	0.8657251179	0.4028850899
154	0.8673507195	0.4019213289
155	0.8680026708	0.4011448722
156	0.8683290142	0.4001865581
157	0.867758684	0.399660038
158	0.8689824375	0.3985708392
159	0.8693095181	0.3979986741
160	0.8693095181	0.3976546961
161	0.8696368451	0.3970325053
162	0.8696368451	0.3967041965
163	0.871841945	0.3957207327
164	0.8715137723	0.3952177461
165	0.8727326669	0.3947058699
166	0.8730609434	0.3939290182
167	0.873389467	0.3934667065
168	0.8742773104	0.3926335589
169	0.8762527795	0.391486955
170	0.8765828927	0.3909726187
171	0.8765828927	0.3907247077
172	0.8769132546	0.3901953074
173	0.8769132546	0.3897146684
174	0.8765828927	0.3893156801
175	0.8765828927	0.388739644
176	0.8781278035	0.387934977
177	0.8787894743	0.3870750918
178	0.8784585143	0.3863562638
179	0.8785688065	0.3855882441
180	0.8782371962	0.3849370345
181	0.8782371962	0.3846453393
182	0.8785688065	0.3841278446
183	0.8773511222	0.3836361879
184	0.8789006673	0.3831269129
185	0.8795651416	0.3825031152
186	0.8802306214	0.3819765113
187	0.880897109	0.3814811097
188	0.879678729	0.3805912874
189	0.8800122528	0.3801948446
190	0.8827805339	0.3791192847
191	0.8822331166	0.3784583008
192	0.8834492376	0.3779521771
193	0.8829026412	0.3775515098
194	0.8841189552	0.376516774
195	0.8844541948	0.3759848937
196	0.8841189552	0.3755131599
197	0.8851254375	0.3746223649
198	0.8844541948	0.3741470566
199	0.8847896889	0.3737703542
200	0.885461441	0.3730081011
201	0.8852540013	0.3721013893
202	0.8855909327	0.3719772573
203	0.8859281206	0.371368622
204	0.886470984	0.370974324
205	0.8859281206	0.3702228918
206	0.8871452925	0.3694881318
207	0.8871452925	0.3689358032
208	0.8874828316	0.3684187746
209	0.8884969918	0.3673810785
210	0.888158681	0.3670423802
211	0.8888355605	0.3666689848
212	0.8869412268	0.3660529282
213	0.8895134725	0.3653124952
214	0.8898528164	0.3649075373
215	0.8901924194	0.3643658168
216	0.8898528164	0.3637066236
217	0.8912127853	0.3628591717
218	0.8912127853	0.3623385775
219	0.8908724035	0.3618748695
220	0.8908724035	0.3615786172
221	0.8908724035	0.3612042263
222	0.8918943297	0.3605973997
223	0.8931101287	0.3597523296
224	0.8936027601	0.3588564785
225	0.8932605506	0.3583093505
226	0.8929186032	0.3580403026
227	0.8929186032	0.3578926704
228	0.8929186032	0.357329757
229	0.8951615682	0.3567046999
230	0.8949742241	0.3561641367
231	0.8956615359	0.3559784594
232	0.8953177481	0.355785977
233	0.8956615359	0.3554993568
234	0.8968783138	0.355188381
235	0.8994709026	0.3544187289
236	0.9005075498	0.3537663709
237	0.9001617354	0.3532447223
238	0.9020657356	0.3524529337
239	0.9020657356	0.3520998201
240	0.9020657356	0.3517594318
241	0.9008536301	0.351446327
242	0.9011999765	0.3512687892
243	0.9024121654	0.3511518211
244	0.9015465893	0.3504042879
245	0.9015465893	0.3498077034
246	0.9011999765	0.3495161499
247	0.8999851071	0.3489900785
248	0.9006784309	0.3485196999
249	0.9010254935	0.3479624926
250	0.9013728237	0.3474804498
251	0.9001549239	0.3472233146
252	0.9029357108	0.3468879118
253	0.9029357108	0.3459180234
254	0.9029357108	0.3456634624
255	0.9041483133	0.3453133156
256	0.9022406154	0.344536003
257	0.9022406154	0.3443353526
258	0.9032836603	0.3436498884
259	0.9032836603	0.3428715997
260	0.9036318781	0.3425699115
261	0.9029357108	0.3422813353
262	0.9032836603	0.3414670846
