iter	F1	Logloss
263	0.9020682881	0.3410408782
264	0.9024164228	0.3408619699
265	0.9043291197	0.3400848787
266	0.906940088	0.3393049129
267	0.9065901737	0.3389694794
268	0.9065901737	0.3387117298
269	0.9065901737	0.3384590109
270	0.9065901737	0.3383571036
271	0.9065901737	0.3382666262
272	0.9078006593	0.3375533226
273	0.9088514499	0.3368448767
274	0.9095533295	0.3364578354
275	0.9095533295	0.3363788881
276	0.9102562941	0.335929929
277	0.9093970718	0.3353271915
278	0.9090452594	0.3344772951
279	0.9090452594	0.3340838814
280	0.9095929285	0.3337286425
281	0.9095929285	0.3336687512
282	0.9104541448	0.3325820586
283	0.9104541448	0.3320785587
284	0.9120184684	0.331486802
285	0.9127252501	0.3307201016
286	0.9123717224	0.3300469864
287	0.9127252501	0.3294181874
288	0.9130790518	0.3290274737
289	0.9130790518	0.3281622591
290	0.9130790518	0.3280372135
291	0.913433128	0.3276598641
292	0.913433128	0.3269962115
293	0.9137874789	0.3261901912
294	0.915207636	0.3251837701
295	0.915207636	0.3250923757
296	0.915207636	0.3250197376
297	0.9159193712	0.3243902826
298	0.915207636	0.323765394
299	0.9171289109	0.323065285
